10,3  ,32
2, 1 ,30
49,55  ,66
5, 13 ,32
97,8  ,98
90, 77 ,90
100, 58 ,88
14, 21 ,40
36, 42 ,48
13,10 ,26
50, 62 ,69
88,75 ,73
39,31  ,48
4, 0 ,35
16, 10 ,35
52,71  ,62
61,70  ,69
62,89 ,67
23,40  ,52
56,80  ,56
3, 9 ,34
37,40 ,60
96,81  ,88
83,80  ,78
70,63  ,76
95,99  ,85
40,39 ,60
98,80  ,91
19, 10 ,44
68,56  ,77
17,14  ,46
25, 3 ,50
91, 80 ,81
20, 13 ,52
29,42  ,40
75,82  ,76
33,49  ,46
84,69 ,92
78, 57 ,76
74, 75 ,66
86,58  ,78
11, 0 ,43
44, 35 ,63
28, 13 ,38
76, 98 ,69
24,42  ,53
41, 35 ,61
77, 56 ,76
89, 49 ,91
64, 55  ,61
