17376,2012,27982,1
18746,1995,28790,0
11788,2011,19423,1
16021,2013,24464,1
17609,2021,27054,1
25418,2015,35951,0
27035,2002,35659,0
28440,2006,39808,0
15481,2015,23066,1
13617,2006,19866,1
25126,2004,36969,0
11459,2001,19421,0
23170,2017,28383,0
27691,2020,35542,0
21934,2006,30645,0
25162,2009,36553,0
11046,2011,16644,1
15959,2008,27150,1
10416,2013,14904,1
15952,2018,27023,1
20603,1998,27102,0
15862,2021,27747,1
14841,2018,25693,1
28633,2000,33421,0
18690,2010,28984,1
14725,2021,17932,1
25422,1997,32738,0
13840,2010,18959,1
18189,2007,21237,1
27156,1995,30450,0
26636,2014,36106,0
22670,2009,34501,0
21243,1995,32119,0
24984,2013,31334,0
28732,2014,37139,0
20372,2015,30529,0
23991,2019,29293,0
10924,1997,14546,0
21671,2005,29929,0
20011,2001,26418,0
16037,2001,21668,0
24159,2010,33932,0
15035,2011,22557,1
16955,2017,27020,1
14819,1995,23492,0
27274,2014,32281,0
25686,2012,35427,0
20121,2008,27535,0
26464,2008,29716,0
19539,2013,30260,1
12990,2008,19115,1
17766,2011,22728,1
28357,1996,39825,0
17030,2004,22100,0
24570,2020,32915,0
27867,2020,37895,0
10151,2014,18553,1
15023,2012,26098,1
13706,2015,24419,1
12277,2014,19066,1
27561,2017,34789,0
10447,2021,17866,1
28332,2006,31437,0
13075,1997,22843,0
15212,2006,25440,1
11047,2007,18420,1
14725,2008,24871,1
24570,2003,30914,0
12486,2002,19015,0
12705,2000,19014,0
25009,2007,28963,0
17071,2000,22167,0
27393,2004,31204,0
19660,1998,23836,0
12805,2000,20572,0
14641,2017,22490,1
24257,2018,31653,0
14874,2016,24915,1
16768,1998,20249,0
29688,2008,33355,0
21756,2006,33442,0
13035,2002,18112,0
11814,2020,22463,1
11778,1997,19060,0
20475,1998,29050,0
24050,2013,31749,0
19111,2013,29411,1
17229,1999,23013,0
28265,1995,33933,0
28116,2021,32680,0
25639,2019,31573,0
19498,2019,27946,1
22521,2000,29276,0
18852,2008,27519,1
24111,2006,29453,0
12489,1996,21549,0
26094,2002,32112,0
14497,2016,26139,1
15691,2005,19732,0
21747,1995,31430,0
24499,1996,36006,0
26265,2011,31003,0
14351,2001,19050,0
23789,2012,33274,0
19632,2012,26695,1
29640,2002,35542,0
28439,2017,36956,0
24102,2008,30742,0
18242,2006,25690,1
20238,2021,25720,0
28880,1998,33816,0
10228,2007,15977,1
18870,2012,24918,1
10975,1996,14047,0
18829,2000,30792,0
15564,1996,26674,0
13263,1999,21193,0
10404,2003,21899,0
27066,1997,30709,0
23304,1998,34362,0
21203,2008,31330,0
19031,2003,23808,0
26197,2002,34418,0
25009,1996,31744,0
18387,2009,25262,1
20313,2002,27495,0
23407,2013,35278,0
12476,2020,17209,1
14972,2005,23150,0
12467,2009,20561,1
23340,1997,27235,0
25325,2020,28691,0
26741,2002,30257,0
21714,2004,26393,0
25979,2015,37123,0
17577,2011,24746,1
22767,2018,26967,0
16341,2020,20144,1
14155,2009,19798,1
13223,2018,16362,1
29863,2004,32950,0
13629,2002,20713,0
28836,2014,33489,0
24212,2002,29193,0
11185,2014,15224,1
18488,2003,27636,0
23962,2016,34541,0
19641,2010,26896,1
26421,2012,36884,0
22517,1998,31007,0
23428,2021,27142,0
10169,2014,15363,1
25251,2010,28383,0
29440,1998,35658,0
17808,2004,22676,0
19268,2008,30109,1
21522,2013,30795,0
24183,1998,31641,0
22384,2004,26905,0
10111,2005,19327,0
27936,2019,36232,0
26022,2018,31518,0
19627,2009,27060,1
16445,2001,19471,0
26215,2021,30345,0
21669,2005,28253,0
15911,2012,20515,1
14651,2008,25268,1
18214,2019,26407,1
10774,2000,15015,0
29012,1998,34227,0
27365,2008,36269,0
20316,2010,29173,0
13767,1997,21335,0
18494,2009,21995,1
27228,2003,33715,0
13507,2004,23404,0
27216,2020,34600,0
11614,2011,14902,1
24272,2013,34901,0
23156,2001,33490,0
24270,2017,27840,0
15951,2021,22321,1
12692,2011,23906,1
28053,2005,35839,0
10936,2006,18471,1
18254,2009,27780,1
18386,2005,21487,0
22825,1995,27175,0
24465,2007,28534,0
26861,1996,31772,0
24690,2007,33938,0
15502,2018,26284,1
12654,1998,20167,0
19443,2000,24963,0
20093,2000,30989,0
20553,2003,29415,0
20960,1999,29717,0
23786,2004,27709,0
20465,2017,23613,0
16997,2005,27147,0
22494,2005,27552,0
12986,1996,22836,0
28799,2001,38943,0
21982,2014,31690,0
28171,2020,31935,0
28041,1995,31315,0
18415,1997,28561,0
21084,2015,31539,0
20252,2017,31400,0
22072,2008,26327,0
20683,2004,28432,0
13234,2021,23723,1
13473,1998,18958,0
17249,2017,25551,1
10286,2003,16043,0
21545,2020,28251,0
25188,2016,31278,0
11659,1997,20241,0
21239,2017,27995,0
