Year	"Average USD/GBP" "Min USD/GBP"	"Max USD/GBP" "Nb of working days"
2016	0.738029	0.672535	0.823155	247
2015	0.654335	0.628464	0.685336	256
2014	0.607358	0.582605	0.644150	255
2013	0.639738	0.604525	0.672785	255
2012	0.631273	0.613517	0.653303	256
2011	0.623858	0.599313	0.653252	257
2010	0.647786	0.612082	0.700827	258
2009	0.640630	0.587752	0.733646	256
2008	0.545067	0.491622	0.691020	256
2007	0.499667	0.474737	0.521440	255
2006	0.543541	0.505814	0.580501	255
2005	0.550349	0.519390	0.585121	257
2004	0.545943	0.512126	0.571005	259
2003	0.612489	0.558036	0.645247	255
2002	0.666539	0.620292	0.710655	255
2001	0.694637	0.663694	0.726177	255
2000	0.661358	0.604568	0.714989	255
1999	0.618231	0.597018	0.644706	261
