Jan 2009	68	91	701	2,797	44.49 MB
Feb 2009	342	396	1,392	6,955	139.08 MB
Mar 2009	462	553	1,680	8,312	164.54 MB
Apr 2009	298	345	963	4,821	100.00 MB
May 2009	424	493	1,160	6,043	130.24 MB
Jun 2009	492	592	1,320	6,822	143.12 MB
Jul 2009	578	653	1,234	7,007	145.17 MB
Aug 2009	727	831	1,418	8,227	178.71 MB
Sep 2009	787	884	1,554	10,574	219.05 MB
Oct 2009	924	1,026	1,871	10,905	218.98 MB
Nov 2009	1,086	1,208	2,331	14,389	283.52 MB
Dec 2009	892	995	2,016	11,652	239.83 MB
Jan 2010	1,015	1,147	2,379	13,859	290.15 MB
Feb 2010	1,056	1,158	2,022	13,437	262.33 MB
Mar 2010	1,233	1,410	2,594	16,022	321.67 MB
Apr 2010	1,361	1,546	2,824	17,745	353.48 MB
May 2010	1,295	1,491	2,762	17,356	325.68 MB
Jun 2010	1,247	1,478	3,298	18,848	366.36 MB
Jul 2010	1,292	1,622	3,280	19,462	392.92 MB
Aug 2010	1,556	2,000	4,833	25,755	497.79 MB
Sep 2010	1,780	2,268	5,148	28,474	575.45 MB
Oct 2010	2,103	2,656	5,565	32,618	661.95 MB
Nov 2010	2,463	3,034	5,671	36,022	734.70 MB
Dec 2010	2,450	3,246	6,621	38,408	777.64 MB
Jan 2011	3,109	4,153	7,536	45,610	904.55 MB
Feb 2011	3,444	4,580	9,141	55,888	1.10 GB
Mar 2011	3,964	5,623	12,131	69,902	1.36 GB
Apr 2011	3,673	4,974	9,736	59,749	1.25 GB
May 2011	4,743	6,506	13,052	80,375	2.26 GB
Jun 2011	4,387	5,956	12,061	74,673	2.19 GB
Jul 2011	4,528	6,410	13,278	79,506	2.46 GB
Aug 2011	5,142	7,220	15,625	90,730	2.74 GB
Sep 2011	5,391	7,691	15,712	95,569	2.86 GB
Oct 2011	7,120	10,030	20,883	125,708	3.61 GB
Nov 2011	9,213	12,833	26,104	160,359	4.51 GB
Dec 2011	7,855	10,815	24,067	137,921	4.22 GB
Jan 2012	9,652	13,993	32,514	179,758	5.33 GB
Feb 2012	9,472	14,126	32,232	183,168	5.52 GB
Mar 2012	10,251	15,010	36,655	204,368	6.13 GB
Apr 2012	11,255	16,107	38,404	220,223	6.90 GB
May 2012	11,998	17,182	38,333	233,226	7.25 GB
Jun 2012	11,896	17,364	40,424	238,785	7.38 GB
Jul 2012	12,165	18,469	46,304	256,124	8.10 GB
Aug 2012	11,830	18,580	45,698	255,070	8.43 GB
Sep 2012	12,671	19,378	45,957	262,723	8.91 GB
Oct 2012	17,430	26,496	63,057	364,023	12.11 GB
Nov 2012	20,362	30,931	74,825	423,516	13.75 GB
Dec 2012	16,813	24,235	58,405	332,697	11.15 GB
Jan 2013	20,026	30,712	74,070	416,160	14.31 GB
Feb 2013	17,855	27,269	66,957	375,049	12.88 GB
Mar 2013	19,435	29,924	79,412	432,298	14.56 GB
Apr 2013	20,492	31,984	78,807	431,149	14.70 GB
May 2013	20,891	30,848	77,471	437,135	14.95 GB
Jun 2013	17,028	25,874	61,471	353,195	11.66 GB
Jul 2013	16,435	25,723	60,567	346,681	11.90 GB
Aug 2013	15,963	24,982	64,083	358,178	12.78 GB
Sep 2013	17,021	26,512	70,409	394,438	14.70 GB
Oct 2013	21,768	33,277	82,764	475,859	18.28 GB
Nov 2013	26,257	39,689	97,058	559,760	21.79 GB
Dec 2013	22,253	32,013	81,967	470,437	18.92 GB
Jan 2014	27,275	42,326	111,445	623,081	25.17 GB
Feb 2014	25,956	40,289	105,303	578,146	23.39 GB
Mar 2014	28,515	44,743	112,012	619,194	25.93 GB
Apr 2014	32,194	50,913	136,418	737,971	31.77 GB
May 2014	35,574	56,195	145,611	800,851	34.85 GB
Jun 2014	33,473	53,244	143,988	772,390	34.23 GB
Jul 2014	33,254	55,266	155,022	806,688	36.99 GB
Aug 2014	31,940	52,121	147,917	760,559	35.51 GB
Sep 2014	34,145	55,668	159,204	817,081	38.55 GB
Oct 2014	48,512	78,352	226,025	1,139,244	54.60 GB
Nov 2014	54,692	89,389	318,910	1,354,554	61.46 GB
Dec 2014	49,401	78,915	287,271	1,210,493	55.03 GB
Jan 2015	56,764	94,230	343,467	1,419,885	64.56 GB
Feb 2015	52,648	87,936	317,668	1,321,843	60.25 GB
Mar 2015	56,232	96,466	344,346	1,438,982	66.31 GB
Apr 2015	55,990	93,874	329,072	1,376,713	63.14 GB
May 2015	59,326	98,472	330,114	1,427,481	67.18 GB
Jun 2015	56,141	97,137	310,126	1,350,793	64.04 GB
Jul 2015	48,811	86,474	281,342	1,211,197	56.80 GB
Aug 2015	47,021	82,774	283,727	1,200,673	57.42 GB
Sep 2015	51,939	91,841	314,350	1,329,986	63.40 GB
Oct 2015	62,430	107,692	356,615	1,540,687	74.42 GB
Nov 2015	72,567	125,350	412,288	1,790,575	87.08 GB
Dec 2015	62,497	102,832	337,080	1,462,281	71.35 GB
Jan 2016	66,040	112,168	361,554	1,572,138	75.65 GB
Feb 2016	60,589	105,210	344,409	1,537,998	71.77 GB
Mar 2016	64,119	111,893	364,825	1,668,367	76.51 GB
Apr 2016	66,102	114,669	359,333	1,676,986	78.60 GB
May 2016	66,136	112,029	355,189	1,636,286	77.71 GB
