Year	"Average USD/CHF" "Min USD/CHF"	"Max USD/CHF" "Nb of working days!
2016	0.983575	0.948829	1.030137	247
2015	0.962850	0.855827	1.030627	256
2014	0.915544	0.872185	0.990363	255
2013	0.927282	0.885623	0.974928	255
2012	0.938684	0.895644	0.993465	256
2011	0.886761	0.727431	0.973307	257
2010	1.042642	0.935788	1.166845	258
2009	1.085421	0.997553	1.191128	256
2008	1.083274	0.984084	1.219568	256
2007	1.200066	1.097620	1.255011	255
2006	1.253615	1.191584	1.319355	255
2005	1.246535	1.143407	1.324741	257
2004	1.242568	1.132619	1.313873	259
2003	1.346326	1.233492	1.423624	255
2002	1.556567	1.384953	1.717883	255
2001	1.687975	1.572174	1.815363	255
2000	1.689860	1.546785	1.828405	255
1999	1.503530	1.356522	1.597750	261
