"SEX","GEO","AGE","UNIT","TIME","INDIC_EM","Value","Flag and Footnotes"
"Total","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","64.1",""
"Males","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","69.6",""
"Females","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","58.6",""
"Total","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","64.2",""
"Males","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","69.7",""
"Females","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","58.6",""
"Total","European Union (15 countries)","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","65.1",""
"Males","European Union (15 countries)","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","70.5",""
"Females","European Union (15 countries)","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","59.8",""
"Total","Euro area (19 countries)","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","63.7",""
"Males","Euro area (19 countries)","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","69.3",""
"Females","Euro area (19 countries)","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","58.2",""
"Total","Euro area (18 countries)","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","63.7",""
"Males","Euro area (18 countries)","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","69.3",""
"Females","Euro area (18 countries)","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","58.2",""
"Total","Euro area (17 countries)","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","63.7",""
"Males","Euro area (17 countries)","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","69.4",""
"Females","Euro area (17 countries)","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","58.1",""
"Total","Belgium","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","61.8",""
"Males","Belgium","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","66.9",""
"Females","Belgium","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","56.8",""
"Total","Bulgaria","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","58.8",""
"Males","Bulgaria","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","61.3",""
"Females","Bulgaria","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","56.3",""
"Total","Czech Republic","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","66.5",""
"Males","Czech Republic","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","74.6",""
"Females","Czech Republic","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","58.2",""
"Total","Denmark","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","72.6",""
"Males","Denmark","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","75.2",""
"Females","Denmark","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","70.0",""
"Total","Germany (until 1990 former territory of the FRG)","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","73.0",""
"Males","Germany (until 1990 former territory of the FRG)","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","77.9",""
"Females","Germany (until 1990 former territory of the FRG)","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","68.1",""
"Total","Estonia","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","67.1",""
"Males","Estonia","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","69.7",""
"Females","Estonia","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","64.7",""
"Total","Ireland","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","58.8",""
"Males","Ireland","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","62.7",""
"Females","Ireland","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","55.1",""
"Total","Greece","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","50.8",""
"Males","Greece","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","60.1",""
"Females","Greece","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","41.7",""
"Total","Spain","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","55.8",""
"Males","Spain","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","60.3",""
"Females","Spain","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","51.2",""
"Total","France","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)",":",""
"Males","France","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)",":",""
"Females","France","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)",":",""
"Total","France (metropolitan)","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","64.0",""
"Males","France (metropolitan)","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","68.1",""
"Females","France (metropolitan)","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","60.1",""
"Total","Croatia","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","53.5",""
"Males","Croatia","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","58.5",""
"Females","Croatia","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","48.5",""
"Total","Italy","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","56.6",""
"Males","Italy","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","66.3",""
"Females","Italy","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","47.1",""
"Total","Cyprus","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","64.6",""
"Males","Cyprus","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","70.4",""
"Females","Cyprus","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","59.4",""
"Total","Latvia","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","63.0",""
"Males","Latvia","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","64.4",""
"Females","Latvia","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","61.7",""
"Total","Lithuania","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","62.0",""
"Males","Lithuania","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","62.2",""
"Females","Lithuania","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","61.8",""
"Total","Luxembourg","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","65.8",""
"Males","Luxembourg","From 15 to 64 years","Percentage of total population","2012","Total employment (resident population concept - LFS)","72.5",""
