"SEX","GEO","AGE","UNIT","TIME","INDIC_EM","Value","Flag and Footnotes"
"Total","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2009","Active population","75.4",""
"Males","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2009","Active population","82.8",""
"Females","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2009","Active population","68.1",""
"Total","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2009","Active population","75.4",""
"Males","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2009","Active population","82.9",""
"Females","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2009","Active population","68.1",""
"Total","European Union (15 countries)","From 20 to 64 years","Percentage of total population","2009","Active population","76.5",""
"Males","European Union (15 countries)","From 20 to 64 years","Percentage of total population","2009","Active population","83.9",""
"Females","European Union (15 countries)","From 20 to 64 years","Percentage of total population","2009","Active population","69.2",""
"Total","Euro area (19 countries)","From 20 to 64 years","Percentage of total population","2009","Active population","75.8",""
"Males","Euro area (19 countries)","From 20 to 64 years","Percentage of total population","2009","Active population","83.3",""
"Females","Euro area (19 countries)","From 20 to 64 years","Percentage of total population","2009","Active population","68.3",""
"Total","Euro area (18 countries)","From 20 to 64 years","Percentage of total population","2009","Active population","75.8",""
"Males","Euro area (18 countries)","From 20 to 64 years","Percentage of total population","2009","Active population","83.3",""
"Females","Euro area (18 countries)","From 20 to 64 years","Percentage of total population","2009","Active population","68.3",""
"Total","Euro area (17 countries)","From 20 to 64 years","Percentage of total population","2009","Active population","75.7",""
"Males","Euro area (17 countries)","From 20 to 64 years","Percentage of total population","2009","Active population","83.3",""
"Females","Euro area (17 countries)","From 20 to 64 years","Percentage of total population","2009","Active population","68.2",""
"Total","Belgium","From 20 to 64 years","Percentage of total population","2009","Active population","72.7",""
"Males","Belgium","From 20 to 64 years","Percentage of total population","2009","Active population","79.2",""
"Females","Belgium","From 20 to 64 years","Percentage of total population","2009","Active population","66.2",""
"Total","Bulgaria","From 20 to 64 years","Percentage of total population","2009","Active population","73.7",""
"Males","Bulgaria","From 20 to 64 years","Percentage of total population","2009","Active population","79.1",""
"Females","Bulgaria","From 20 to 64 years","Percentage of total population","2009","Active population","68.4",""
"Total","Czech Republic","From 20 to 64 years","Percentage of total population","2009","Active population","75.8",""
"Males","Czech Republic","From 20 to 64 years","Percentage of total population","2009","Active population","85.0",""
"Females","Czech Republic","From 20 to 64 years","Percentage of total population","2009","Active population","66.5",""
"Total","Denmark","From 20 to 64 years","Percentage of total population","2009","Active population","82.0",""
"Males","Denmark","From 20 to 64 years","Percentage of total population","2009","Active population","85.7",""
"Females","Denmark","From 20 to 64 years","Percentage of total population","2009","Active population","78.2",""
"Total","Germany (until 1990 former territory of the FRG)","From 20 to 64 years","Percentage of total population","2009","Active population","80.4",""
"Males","Germany (until 1990 former territory of the FRG)","From 20 to 64 years","Percentage of total population","2009","Active population","86.6",""
"Females","Germany (until 1990 former territory of the FRG)","From 20 to 64 years","Percentage of total population","2009","Active population","74.1",""
"Total","Estonia","From 20 to 64 years","Percentage of total population","2009","Active population","80.7",""
"Males","Estonia","From 20 to 64 years","Percentage of total population","2009","Active population","85.0",""
"Females","Estonia","From 20 to 64 years","Percentage of total population","2009","Active population","76.7",""
"Total","Ireland","From 20 to 64 years","Percentage of total population","2009","Active population","75.8","b"
"Males","Ireland","From 20 to 64 years","Percentage of total population","2009","Active population","84.6","b"
"Females","Ireland","From 20 to 64 years","Percentage of total population","2009","Active population","66.9","b"
"Total","Greece","From 20 to 64 years","Percentage of total population","2009","Active population","72.5","b"
"Males","Greece","From 20 to 64 years","Percentage of total population","2009","Active population","84.4","b"
"Females","Greece","From 20 to 64 years","Percentage of total population","2009","Active population","60.9","b"
"Total","Spain","From 20 to 64 years","Percentage of total population","2009","Active population","77.2",""
"Males","Spain","From 20 to 64 years","Percentage of total population","2009","Active population","85.4",""
"Females","Spain","From 20 to 64 years","Percentage of total population","2009","Active population","68.9",""
"Total","France","From 20 to 64 years","Percentage of total population","2009","Active population",":",""
"Males","France","From 20 to 64 years","Percentage of total population","2009","Active population",":",""
"Females","France","From 20 to 64 years","Percentage of total population","2009","Active population",":",""
"Total","France (metropolitan)","From 20 to 64 years","Percentage of total population","2009","Active population","75.8",""
"Males","France (metropolitan)","From 20 to 64 years","Percentage of total population","2009","Active population","80.9",""
"Females","France (metropolitan)","From 20 to 64 years","Percentage of total population","2009","Active population","70.9",""
"Total","Croatia","From 20 to 64 years","Percentage of total population","2009","Active population","70.5",""
"Males","Croatia","From 20 to 64 years","Percentage of total population","2009","Active population","76.1",""
"Females","Croatia","From 20 to 64 years","Percentage of total population","2009","Active population","64.8",""
"Total","Italy","From 20 to 64 years","Percentage of total population","2009","Active population","66.6",""
"Males","Italy","From 20 to 64 years","Percentage of total population","2009","Active population","78.8",""
"Females","Italy","From 20 to 64 years","Percentage of total population","2009","Active population","54.6",""
"Total","Cyprus","From 20 to 64 years","Percentage of total population","2009","Active population","79.6","b"
"Males","Cyprus","From 20 to 64 years","Percentage of total population","2009","Active population","87.5","b"
"Females","Cyprus","From 20 to 64 years","Percentage of total population","2009","Active population","72.3","b"
"Total","Latvia","From 20 to 64 years","Percentage of total population","2009","Active population","80.6",""
"Males","Latvia","From 20 to 64 years","Percentage of total population","2009","Active population","84.2",""
"Females","Latvia","From 20 to 64 years","Percentage of total population","2009","Active population","77.3",""
"Total","Lithuania","From 20 to 64 years","Percentage of total population","2009","Active population","77.6",""
"Males","Lithuania","From 20 to 64 years","Percentage of total population","2009","Active population","80.4",""
"Females","Lithuania","From 20 to 64 years","Percentage of total population","2009","Active population","75.0",""
"Total","Luxembourg","From 20 to 64 years","Percentage of total population","2009","Active population","74.0","b"
"Males","Luxembourg","From 20 to 64 years","Percentage of total population","2009","Active population","82.4","b"
"Females","Luxembourg","From 20 to 64 years","Percentage of total population","2009","Active population","65.3","b"
"Total","Hungary","From 20 to 64 years","Percentage of total population","2009","Active population","66.7",""
"Males","Hungary","From 20 to 64 years","Percentage of total population","2009","Active population","74.0",""
"Females","Hungary","From 20 to 64 years","Percentage of total population","2009","Active population","59.7",""
"Total","Malta","From 20 to 64 years","Percentage of total population","2009","Active population","62.7",""
"Males","Malta","From 20 to 64 years","Percentage of total population","2009","Active population","82.1",""
"Females","Malta","From 20 to 64 years","Percentage of total population","2009","Active population","42.8",""
"Total","Netherlands","From 20 to 64 years","Percentage of total population","2009","Active population","81.3",""
"Males","Netherlands","From 20 to 64 years","Percentage of total population","2009","Active population","87.5",""
"Females","Netherlands","From 20 to 64 years","Percentage of total population","2009","Active population","75.0",""
