"SEX","GEO","AGE","UNIT","TIME","INDIC_EM","Value","Flag and Footnotes"
"Total","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","69.2",""
"Males","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","75.0",""
"Females","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","63.5",""
"Total","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","69.3",""
"Males","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","75.1",""
"Females","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","63.5",""
"Total","European Union (15 countries)","From 20 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","69.8",""
"Males","European Union (15 countries)","From 20 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","75.4",""
"Females","European Union (15 countries)","From 20 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","64.3",""
"Total","Euro area (19 countries)","From 20 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","68.2",""
"Males","Euro area (19 countries)","From 20 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","73.8",""
"Females","Euro area (19 countries)","From 20 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","62.6",""
"Total","Euro area (18 countries)","From 20 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","68.2",""
"Males","Euro area (18 countries)","From 20 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","73.8",""
"Females","Euro area (18 countries)","From 20 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","62.6",""
"Total","Euro area (17 countries)","From 20 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","68.1",""
"Males","Euro area (17 countries)","From 20 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","73.8",""
"Females","Euro area (17 countries)","From 20 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","62.5",""
"Total","Belgium","From 20 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","67.3",""
"Males","Belgium","From 20 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","71.6",""
"Females","Belgium","From 20 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","62.9",""
"Total","Bulgaria","From 20 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","65.1",""
"Males","Bulgaria","From 20 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","68.1",""
"Females","Bulgaria","From 20 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","62.0",""
"Total","Czech Republic","From 20 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","73.5",""
"Males","Czech Republic","From 20 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","82.2",""
"Females","Czech Republic","From 20 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","64.7",""
"Total","Denmark","From 20 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","75.9",""
"Males","Denmark","From 20 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","79.5",""
"Females","Denmark","From 20 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","72.2",""
"Total","Germany (until 1990 former territory of the FRG)","From 20 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","77.7",""
"Males","Germany (until 1990 former territory of the FRG)","From 20 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","82.2",""
"Females","Germany (until 1990 former territory of the FRG)","From 20 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","73.1",""
"Total","Estonia","From 20 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","74.3",""
"Males","Estonia","From 20 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","78.3",""
"Females","Estonia","From 20 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","70.6",""
"Total","Ireland","From 20 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","67.0",""
"Males","Ireland","From 20 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","73.0",""
"Females","Ireland","From 20 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","61.2",""
"Total","Greece","From 20 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","53.3",""
