"SEX","GEO","AGE","UNIT","TIME","INDIC_EM","Value","Flag and Footnotes"
"Total","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","70.3",""
"Males","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","77.8",""
"Females","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","62.8",""
"Total","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","70.3",""
"Males","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","77.9",""
"Females","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","62.8",""
"Total","European Union (15 countries)","From 20 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","71.3",""
"Males","European Union (15 countries)","From 20 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","78.9",""
"Females","European Union (15 countries)","From 20 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","63.8",""
"Total","Euro area (19 countries)","From 20 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","70.2",""
"Males","Euro area (19 countries)","From 20 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","78.1",""
"Females","Euro area (19 countries)","From 20 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","62.4",""
"Total","Euro area (18 countries)","From 20 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","70.2",""
"Males","Euro area (18 countries)","From 20 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","78.1",""
"Females","Euro area (18 countries)","From 20 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","62.4",""
"Total","Euro area (17 countries)","From 20 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","70.2",""
"Males","Euro area (17 countries)","From 20 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","78.1",""
"Females","Euro area (17 countries)","From 20 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","62.3",""
"Total","Belgium","From 20 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","68.0",""
"Males","Belgium","From 20 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","74.7",""
"Females","Belgium","From 20 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","61.3",""
"Total","Bulgaria","From 20 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","70.7",""
"Males","Bulgaria","From 20 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","76.1",""
"Females","Bulgaria","From 20 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","65.4",""
"Total","Czech Republic","From 20 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","72.4",""
"Males","Czech Republic","From 20 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","82.0",""
"Females","Czech Republic","From 20 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","62.5",""
"Total","Denmark","From 20 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","79.7",""
"Males","Denmark","From 20 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","83.9",""
"Females","Denmark","From 20 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","75.5",""
"Total","Germany (until 1990 former territory of the FRG)","From 20 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","74.0",""
"Males","Germany (until 1990 former territory of the FRG)","From 20 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","80.1",""
"Females","Germany (until 1990 former territory of the FRG)","From 20 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","67.8",""
"Total","Estonia","From 20 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","77.1",""
