"SEX","GEO","AGE","UNIT","TIME","INDIC_EM","Value","Flag and Footnotes"
"Total","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","64.1",""
"Males","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","69.4",""
"Females","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","58.8",""
"Total","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","64.2",""
"Males","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","69.5",""
"Females","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","58.8",""
"Total","European Union (15 countries)","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","65.0",""
"Males","European Union (15 countries)","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","70.1",""
"Females","European Union (15 countries)","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","59.9",""
"Total","Euro area (19 countries)","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","63.4",""
"Males","Euro area (19 countries)","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","68.7",""
"Females","Euro area (19 countries)","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","58.2",""
"Total","Euro area (18 countries)","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","63.4",""
"Males","Euro area (18 countries)","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","68.7",""
"Females","Euro area (18 countries)","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","58.2",""
"Total","Euro area (17 countries)","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","63.4",""
"Males","Euro area (17 countries)","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","68.7",""
"Females","Euro area (17 countries)","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","58.1",""
"Total","Belgium","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","61.8",""
"Males","Belgium","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","66.4",""
"Females","Belgium","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","57.2",""
"Total","Bulgaria","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","59.5",""
"Males","Bulgaria","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","62.1",""
"Females","Bulgaria","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","56.8",""
"Total","Czech Republic","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","67.7",""
"Males","Czech Republic","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","75.7",""
"Females","Czech Republic","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","59.6",""
"Total","Denmark","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","72.5",""
"Males","Denmark","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","75.0",""
"Females","Denmark","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","70.0",""
"Total","Germany (until 1990 former territory of the FRG)","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","73.5",""
"Males","Germany (until 1990 former territory of the FRG)","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","78.0",""
"Females","Germany (until 1990 former territory of the FRG)","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","69.0",""
"Total","Estonia","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","68.5",""
"Males","Estonia","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","71.4",""
"Females","Estonia","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","65.7",""
"Total","Ireland","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","60.5",""
"Males","Ireland","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","65.1",""
"Females","Ireland","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","55.9",""
"Total","Greece","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","48.8",""
"Males","Greece","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","57.9",""
"Females","Greece","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","39.9",""
"Total","Spain","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","54.8",""
"Males","Spain","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","59.2",""
"Females","Spain","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","50.3",""
"Total","France","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)",":",""
"Males","France","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)",":",""
"Females","France","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)",":",""
"Total","France (metropolitan)","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","64.0",""
"Males","France (metropolitan)","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","67.9",""
"Females","France (metropolitan)","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","60.4",""
"Total","Croatia","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","52.5",""
"Males","Croatia","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","56.5",""
"Females","Croatia","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","48.5",""
"Total","Italy","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","55.5",""
"Males","Italy","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","64.7",""
"Females","Italy","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","46.5",""
"Total","Cyprus","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","61.7",""
"Males","Cyprus","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","67.0",""
"Females","Cyprus","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","56.9",""
"Total","Latvia","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","65.0",""
"Males","Latvia","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","66.8",""
"Females","Latvia","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","63.4",""
"Total","Lithuania","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","63.7",""
"Males","Lithuania","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","64.7",""
"Females","Lithuania","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","62.8",""
"Total","Luxembourg","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","65.7",""
"Males","Luxembourg","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","72.1",""
"Females","Luxembourg","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","59.1",""
"Total","Hungary","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","58.1",""
"Males","Hungary","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","63.7",""
"Females","Hungary","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","52.6",""
"Total","Malta","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","60.8",""
"Males","Malta","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","74.1",""
"Females","Malta","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","47.0",""
"Total","Netherlands","From 15 to 64 years","Percentage of total population","2013","Total employment (resident population concept - LFS)","73.6",""
