"SEX","GEO","AGE","UNIT","TIME","INDIC_EM","Value","Flag and Footnotes"
"Total","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2013","Active population","76.5",""
"Males","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2013","Active population","83.0",""
"Females","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2013","Active population","70.0",""
"Total","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2013","Active population","76.5",""
"Males","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2013","Active population","83.1",""
"Females","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2013","Active population","70.1",""
"Total","European Union (15 countries)","From 20 to 64 years","Percentage of total population","2013","Active population","77.5",""
"Males","European Union (15 countries)","From 20 to 64 years","Percentage of total population","2013","Active population","83.9",""
"Females","European Union (15 countries)","From 20 to 64 years","Percentage of total population","2013","Active population","71.3",""
"Total","Euro area (19 countries)","From 20 to 64 years","Percentage of total population","2013","Active population","76.7",""
"Males","Euro area (19 countries)","From 20 to 64 years","Percentage of total population","2013","Active population","83.2",""
"Females","Euro area (19 countries)","From 20 to 64 years","Percentage of total population","2013","Active population","70.3",""
"Total","Euro area (18 countries)","From 20 to 64 years","Percentage of total population","2013","Active population","76.7",""
"Males","Euro area (18 countries)","From 20 to 64 years","Percentage of total population","2013","Active population","83.2",""
"Females","Euro area (18 countries)","From 20 to 64 years","Percentage of total population","2013","Active population","70.3",""
"Total","Euro area (17 countries)","From 20 to 64 years","Percentage of total population","2013","Active population","76.7",""
"Males","Euro area (17 countries)","From 20 to 64 years","Percentage of total population","2013","Active population","83.2",""
"Females","Euro area (17 countries)","From 20 to 64 years","Percentage of total population","2013","Active population","70.3",""
"Total","Belgium","From 20 to 64 years","Percentage of total population","2013","Active population","73.2",""
"Males","Belgium","From 20 to 64 years","Percentage of total population","2013","Active population","78.9",""
"Females","Belgium","From 20 to 64 years","Percentage of total population","2013","Active population","67.5",""
"Total","Bulgaria","From 20 to 64 years","Percentage of total population","2013","Active population","72.8",""
"Males","Bulgaria","From 20 to 64 years","Percentage of total population","2013","Active population","76.9",""
"Females","Bulgaria","From 20 to 64 years","Percentage of total population","2013","Active population","68.7",""
"Total","Czech Republic","From 20 to 64 years","Percentage of total population","2013","Active population","77.8",""
"Males","Czech Republic","From 20 to 64 years","Percentage of total population","2013","Active population","86.0",""
"Females","Czech Republic","From 20 to 64 years","Percentage of total population","2013","Active population","69.5",""
"Total","Denmark","From 20 to 64 years","Percentage of total population","2013","Active population","80.9",""
"Males","Denmark","From 20 to 64 years","Percentage of total population","2013","Active population","83.9",""
"Females","Denmark","From 20 to 64 years","Percentage of total population","2013","Active population","77.8",""
"Total","Germany (until 1990 former territory of the FRG)","From 20 to 64 years","Percentage of total population","2013","Active population","81.6",""
"Males","Germany (until 1990 former territory of the FRG)","From 20 to 64 years","Percentage of total population","2013","Active population","86.9",""
"Females","Germany (until 1990 former territory of the FRG)","From 20 to 64 years","Percentage of total population","2013","Active population","76.2",""
"Total","Estonia","From 20 to 64 years","Percentage of total population","2013","Active population","80.3",""
"Males","Estonia","From 20 to 64 years","Percentage of total population","2013","Active population","84.3",""
"Females","Estonia","From 20 to 64 years","Percentage of total population","2013","Active population","76.4",""
"Total","Ireland","From 20 to 64 years","Percentage of total population","2013","Active population","75.2",""
"Males","Ireland","From 20 to 64 years","Percentage of total population","2013","Active population","83.4",""
"Females","Ireland","From 20 to 64 years","Percentage of total population","2013","Active population","67.2",""
"Total","Greece","From 20 to 64 years","Percentage of total population","2013","Active population","72.7",""
"Males","Greece","From 20 to 64 years","Percentage of total population","2013","Active population","82.8",""
"Females","Greece","From 20 to 64 years","Percentage of total population","2013","Active population","62.9",""
"Total","Spain","From 20 to 64 years","Percentage of total population","2013","Active population","78.8",""
"Males","Spain","From 20 to 64 years","Percentage of total population","2013","Active population","84.7",""
"Females","Spain","From 20 to 64 years","Percentage of total population","2013","Active population","72.9",""
"Total","France","From 20 to 64 years","Percentage of total population","2013","Active population",":",""
"Males","France","From 20 to 64 years","Percentage of total population","2013","Active population",":",""
"Females","France","From 20 to 64 years","Percentage of total population","2013","Active population",":",""
"Total","France (metropolitan)","From 20 to 64 years","Percentage of total population","2013","Active population","76.8",""
"Males","France (metropolitan)","From 20 to 64 years","Percentage of total population","2013","Active population","81.5",""
"Females","France (metropolitan)","From 20 to 64 years","Percentage of total population","2013","Active population","72.3",""
"Total","Croatia","From 20 to 64 years","Percentage of total population","2013","Active population","68.6",""
"Males","Croatia","From 20 to 64 years","Percentage of total population","2013","Active population","74.3",""
"Females","Croatia","From 20 to 64 years","Percentage of total population","2013","Active population","62.9",""
"Total","Italy","From 20 to 64 years","Percentage of total population","2013","Active population","67.8",""
"Males","Italy","From 20 to 64 years","Percentage of total population","2013","Active population","78.6",""
"Females","Italy","From 20 to 64 years","Percentage of total population","2013","Active population","57.2",""
