"SEX","GEO","AGE","UNIT","TIME","INDIC_EM","Value","Flag and Footnotes"
"Total","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2010","Active population","71.0",""
"Males","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2010","Active population","77.6",""
"Females","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2010","Active population","64.4",""
"Total","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2010","Active population","71.0",""
"Males","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2010","Active population","77.7",""
"Females","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2010","Active population","64.4",""
"Total","European Union (15 countries)","From 15 to 64 years","Percentage of total population","2010","Active population","72.3",""
"Males","European Union (15 countries)","From 15 to 64 years","Percentage of total population","2010","Active population","78.9",""
"Females","European Union (15 countries)","From 15 to 64 years","Percentage of total population","2010","Active population","65.7",""
"Total","Euro area (19 countries)","From 15 to 64 years","Percentage of total population","2010","Active population","71.3",""
"Males","Euro area (19 countries)","From 15 to 64 years","Percentage of total population","2010","Active population","78.0",""
"Females","Euro area (19 countries)","From 15 to 64 years","Percentage of total population","2010","Active population","64.6",""
"Total","Euro area (18 countries)","From 15 to 64 years","Percentage of total population","2010","Active population","71.3",""
"Males","Euro area (18 countries)","From 15 to 64 years","Percentage of total population","2010","Active population","78.1",""
"Females","Euro area (18 countries)","From 15 to 64 years","Percentage of total population","2010","Active population","64.6",""
"Total","Euro area (17 countries)","From 15 to 64 years","Percentage of total population","2010","Active population","71.3",""
"Males","Euro area (17 countries)","From 15 to 64 years","Percentage of total population","2010","Active population","78.1",""
"Females","Euro area (17 countries)","From 15 to 64 years","Percentage of total population","2010","Active population","64.5",""
"Total","Belgium","From 15 to 64 years","Percentage of total population","2010","Active population","67.7",""
"Males","Belgium","From 15 to 64 years","Percentage of total population","2010","Active population","73.4",""
"Females","Belgium","From 15 to 64 years","Percentage of total population","2010","Active population","61.8",""
"Total","Bulgaria","From 15 to 64 years","Percentage of total population","2010","Active population","66.7","b"
"Males","Bulgaria","From 15 to 64 years","Percentage of total population","2010","Active population","71.1","b"
"Females","Bulgaria","From 15 to 64 years","Percentage of total population","2010","Active population","62.2","b"
"Total","Czech Republic","From 15 to 64 years","Percentage of total population","2010","Active population","70.2",""
"Males","Czech Republic","From 15 to 64 years","Percentage of total population","2010","Active population","78.6",""
"Females","Czech Republic","From 15 to 64 years","Percentage of total population","2010","Active population","61.5",""
"Total","Denmark","From 15 to 64 years","Percentage of total population","2010","Active population","79.4",""
"Males","Denmark","From 15 to 64 years","Percentage of total population","2010","Active population","82.6",""
"Females","Denmark","From 15 to 64 years","Percentage of total population","2010","Active population","76.0",""
"Total","Germany (until 1990 former territory of the FRG)","From 15 to 64 years","Percentage of total population","2010","Active population","76.7","b"
"Males","Germany (until 1990 former territory of the FRG)","From 15 to 64 years","Percentage of total population","2010","Active population","82.4","b"
"Females","Germany (until 1990 former territory of the FRG)","From 15 to 64 years","Percentage of total population","2010","Active population","70.9","b"
"Total","Estonia","From 15 to 64 years","Percentage of total population","2010","Active population","73.9",""
"Males","Estonia","From 15 to 64 years","Percentage of total population","2010","Active population","76.8",""
"Females","Estonia","From 15 to 64 years","Percentage of total population","2010","Active population","71.1",""
"Total","Ireland","From 15 to 64 years","Percentage of total population","2010","Active population","69.4",""
"Males","Ireland","From 15 to 64 years","Percentage of total population","2010","Active population","77.0",""
"Females","Ireland","From 15 to 64 years","Percentage of total population","2010","Active population","61.9",""
"Total","Greece","From 15 to 64 years","Percentage of total population","2010","Active population","67.8",""
"Males","Greece","From 15 to 64 years","Percentage of total population","2010","Active population","78.3",""
"Females","Greece","From 15 to 64 years","Percentage of total population","2010","Active population","57.5",""
"Total","Spain","From 15 to 64 years","Percentage of total population","2010","Active population","73.5",""
"Males","Spain","From 15 to 64 years","Percentage of total population","2010","Active population","80.6",""
"Females","Spain","From 15 to 64 years","Percentage of total population","2010","Active population","66.3",""
"Total","France","From 15 to 64 years","Percentage of total population","2010","Active population",":",""
"Males","France","From 15 to 64 years","Percentage of total population","2010","Active population",":",""
"Females","France","From 15 to 64 years","Percentage of total population","2010","Active population",":",""
"Total","France (metropolitan)","From 15 to 64 years","Percentage of total population","2010","Active population","70.3",""
"Males","France (metropolitan)","From 15 to 64 years","Percentage of total population","2010","Active population","74.9",""
"Females","France (metropolitan)","From 15 to 64 years","Percentage of total population","2010","Active population","65.8",""
