"SEX","GEO","AGE","UNIT","TIME","INDIC_EM","Value","Flag and Footnotes"
"Total","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2015","Active population","77.1",""
"Males","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2015","Active population","83.4",""
"Females","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2015","Active population","70.9",""
"Total","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2015","Active population","77.2",""
"Males","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2015","Active population","83.5",""
"Females","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2015","Active population","70.9",""
"Total","European Union (15 countries)","From 20 to 64 years","Percentage of total population","2015","Active population","78.0",""
"Males","European Union (15 countries)","From 20 to 64 years","Percentage of total population","2015","Active population","84.0",""
"Females","European Union (15 countries)","From 20 to 64 years","Percentage of total population","2015","Active population","72.0",""
"Total","Euro area (19 countries)","From 20 to 64 years","Percentage of total population","2015","Active population","77.2",""
"Males","Euro area (19 countries)","From 20 to 64 years","Percentage of total population","2015","Active population","83.4",""
"Females","Euro area (19 countries)","From 20 to 64 years","Percentage of total population","2015","Active population","71.1",""
"Total","Euro area (18 countries)","From 20 to 64 years","Percentage of total population","2015","Active population","77.2",""
"Males","Euro area (18 countries)","From 20 to 64 years","Percentage of total population","2015","Active population","83.4",""
"Females","Euro area (18 countries)","From 20 to 64 years","Percentage of total population","2015","Active population","71.0",""
"Total","Euro area (17 countries)","From 20 to 64 years","Percentage of total population","2015","Active population","77.1",""
"Males","Euro area (17 countries)","From 20 to 64 years","Percentage of total population","2015","Active population","83.4",""
"Females","Euro area (17 countries)","From 20 to 64 years","Percentage of total population","2015","Active population","71.0",""
"Total","Belgium","From 20 to 64 years","Percentage of total population","2015","Active population","73.3",""
"Males","Belgium","From 20 to 64 years","Percentage of total population","2015","Active population","78.3",""
"Females","Belgium","From 20 to 64 years","Percentage of total population","2015","Active population","68.2",""
"Total","Bulgaria","From 20 to 64 years","Percentage of total population","2015","Active population","73.8",""
"Males","Bulgaria","From 20 to 64 years","Percentage of total population","2015","Active population","78.0",""
