"SEX","GEO","AGE","UNIT","TIME","INDIC_EM","Value","Flag and Footnotes"
"Total","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","65.7",""
"Males","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","72.6",""
"Females","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","58.9",""
"Total","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","65.8",""
"Males","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","72.7",""
"Females","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","58.9",""
"Total","European Union (15 countries)","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","67.1",""
"Males","European Union (15 countries)","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","74.1",""
"Females","European Union (15 countries)","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","60.2",""
"Total","Euro area (19 countries)","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","65.8",""
"Males","Euro area (19 countries)","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","73.1",""
"Females","Euro area (19 countries)","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","58.6",""
"Total","Euro area (18 countries)","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","65.8",""
"Males","Euro area (18 countries)","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","73.2",""
"Females","Euro area (18 countries)","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","58.5",""
"Total","Euro area (17 countries)","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","65.8",""
"Males","Euro area (17 countries)","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","73.2",""
"Females","Euro area (17 countries)","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","58.5",""
"Total","Belgium","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","62.4",""
"Males","Belgium","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","68.6",""
"Females","Belgium","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","56.2",""
"Total","Bulgaria","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","64.0",""
"Males","Bulgaria","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","68.5",""
"Females","Bulgaria","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","59.5",""
"Total","Czech Republic","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","66.6",""
"Males","Czech Republic","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","75.4",""
"Females","Czech Republic","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","57.6",""
"Total","Denmark","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","77.9",""
"Males","Denmark","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","81.6",""
"Females","Denmark","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","74.1",""
"Total","Germany (until 1990 former territory of the FRG)","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","70.1",""
"Males","Germany (until 1990 former territory of the FRG)","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","75.8",""
"Females","Germany (until 1990 former territory of the FRG)","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","64.3",""
"Total","Estonia","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","70.1",""
"Males","Estonia","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","73.7",""
"Females","Estonia","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","66.6",""
"Total","Ireland","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","67.4",""
"Males","Ireland","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","74.5",""
"Females","Ireland","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","60.1",""
"Total","Greece","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","61.4",""
"Males","Greece","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","74.4",""
"Females","Greece","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","48.6",""
"Total","Spain","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","64.5",""
"Males","Spain","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","73.3",""
"Females","Spain","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","55.4",""
"Total","France","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)",":",""
"Males","France","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)",":",""
"Females","France","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)",":",""
"Total","France (metropolitan)","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","64.9",""
"Males","France (metropolitan)","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","69.7",""
"Females","France (metropolitan)","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","60.3",""
"Total","Croatia","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","60.0",""
"Males","Croatia","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","67.3",""
"Females","Croatia","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","52.7",""
"Total","Italy","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","58.6",""
"Males","Italy","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","70.1",""
"Females","Italy","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","47.2",""
"Total","Cyprus","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","70.9",""
"Males","Cyprus","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","79.2",""
"Females","Cyprus","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","62.9",""
"Total","Latvia","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","68.2",""
"Males","Latvia","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","71.5",""
"Females","Latvia","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","65.2",""
"Total","Lithuania","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","64.4",""
"Males","Lithuania","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","67.2",""
"Females","Lithuania","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","61.8",""
"Total","Luxembourg","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","63.4",""
"Males","Luxembourg","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","71.5",""
"Females","Luxembourg","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","55.1",""
"Total","Hungary","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","56.4",""
"Males","Hungary","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","62.7",""
"Females","Hungary","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","50.3",""
"Total","Malta","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","55.5",""
"Males","Malta","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","72.9",""
"Females","Malta","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","37.7",""
"Total","Netherlands","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","77.2",""
"Males","Netherlands","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","83.2",""
"Females","Netherlands","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","71.1",""
"Total","Austria","From 15 to 64 years","Percentage of total population","2008","Total employment (resident population concept - LFS)","70.8",""
