"SEX","GEO","AGE","UNIT","TIME","INDIC_EM","Value","Flag and Footnotes"
"Total","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2012","Active population","71.7",""
"Males","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2012","Active population","77.8",""
"Females","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2012","Active population","65.5",""
"Total","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2012","Active population","71.7",""
"Males","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2012","Active population","77.9",""
"Females","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2012","Active population","65.6",""
"Total","European Union (15 countries)","From 15 to 64 years","Percentage of total population","2012","Active population","72.9",""
"Males","European Union (15 countries)","From 15 to 64 years","Percentage of total population","2012","Active population","79.0",""
"Females","European Union (15 countries)","From 15 to 64 years","Percentage of total population","2012","Active population","66.9",""
"Total","Euro area (19 countries)","From 15 to 64 years","Percentage of total population","2012","Active population","72.0",""
"Males","Euro area (19 countries)","From 15 to 64 years","Percentage of total population","2012","Active population","78.1",""
"Females","Euro area (19 countries)","From 15 to 64 years","Percentage of total population","2012","Active population","65.8",""
"Total","Euro area (18 countries)","From 15 to 64 years","Percentage of total population","2012","Active population","72.0",""
"Males","Euro area (18 countries)","From 15 to 64 years","Percentage of total population","2012","Active population","78.2",""
"Females","Euro area (18 countries)","From 15 to 64 years","Percentage of total population","2012","Active population","65.8",""
"Total","Euro area (17 countries)","From 15 to 64 years","Percentage of total population","2012","Active population","71.9",""
"Males","Euro area (17 countries)","From 15 to 64 years","Percentage of total population","2012","Active population","78.2",""
"Females","Euro area (17 countries)","From 15 to 64 years","Percentage of total population","2012","Active population","65.7",""
"Total","Belgium","From 15 to 64 years","Percentage of total population","2012","Active population","66.9",""
"Males","Belgium","From 15 to 64 years","Percentage of total population","2012","Active population","72.5",""
"Females","Belgium","From 15 to 64 years","Percentage of total population","2012","Active population","61.3",""
