"SEX","GEO","AGE","UNIT","TIME","INDIC_EM","Value","Flag and Footnotes"
"Total","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2010","Active population","75.5",""
"Males","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2010","Active population","82.7",""
"Females","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2010","Active population","68.4",""
"Total","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2010","Active population","75.6",""
"Males","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2010","Active population","82.8",""
"Females","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2010","Active population","68.4",""
"Total","European Union (15 countries)","From 20 to 64 years","Percentage of total population","2010","Active population","76.6",""
"Males","European Union (15 countries)","From 20 to 64 years","Percentage of total population","2010","Active population","83.7",""
"Females","European Union (15 countries)","From 20 to 64 years","Percentage of total population","2010","Active population","69.5",""
"Total","Euro area (19 countries)","From 20 to 64 years","Percentage of total population","2010","Active population","75.8",""
"Males","Euro area (19 countries)","From 20 to 64 years","Percentage of total population","2010","Active population","83.1",""
"Females","Euro area (19 countries)","From 20 to 64 years","Percentage of total population","2010","Active population","68.6",""
"Total","Euro area (18 countries)","From 20 to 64 years","Percentage of total population","2010","Active population","75.8",""
"Males","Euro area (18 countries)","From 20 to 64 years","Percentage of total population","2010","Active population","83.1",""
"Females","Euro area (18 countries)","From 20 to 64 years","Percentage of total population","2010","Active population","68.6",""
"Total","Euro area (17 countries)","From 20 to 64 years","Percentage of total population","2010","Active population","75.8",""
"Males","Euro area (17 countries)","From 20 to 64 years","Percentage of total population","2010","Active population","83.1",""
"Females","Euro area (17 countries)","From 20 to 64 years","Percentage of total population","2010","Active population","68.5",""
"Total","Belgium","From 20 to 64 years","Percentage of total population","2010","Active population","73.5",""
"Males","Belgium","From 20 to 64 years","Percentage of total population","2010","Active population","79.8",""
"Females","Belgium","From 20 to 64 years","Percentage of total population","2010","Active population","67.1",""
"Total","Bulgaria","From 20 to 64 years","Percentage of total population","2010","Active population","71.9","b"
"Males","Bulgaria","From 20 to 64 years","Percentage of total population","2010","Active population","76.8","b"
"Females","Bulgaria","From 20 to 64 years","Percentage of total population","2010","Active population","67.0","b"
"Total","Czech Republic","From 20 to 64 years","Percentage of total population","2010","Active population","75.7",""
"Males","Czech Republic","From 20 to 64 years","Percentage of total population","2010","Active population","84.9",""
"Females","Czech Republic","From 20 to 64 years","Percentage of total population","2010","Active population","66.4",""
"Total","Denmark","From 20 to 64 years","Percentage of total population","2010","Active population","81.5",""
"Males","Denmark","From 20 to 64 years","Percentage of total population","2010","Active population","85.3",""
"Females","Denmark","From 20 to 64 years","Percentage of total population","2010","Active population","77.6",""
"Total","Germany (until 1990 former territory of the FRG)","From 20 to 64 years","Percentage of total population","2010","Active population","80.6","b"
"Males","Germany (until 1990 former territory of the FRG)","From 20 to 64 years","Percentage of total population","2010","Active population","86.8","b"
"Females","Germany (until 1990 former territory of the FRG)","From 20 to 64 years","Percentage of total population","2010","Active population","74.5","b"
"Total","Estonia","From 20 to 64 years","Percentage of total population","2010","Active population","80.2",""
"Males","Estonia","From 20 to 64 years","Percentage of total population","2010","Active population","83.8",""
"Females","Estonia","From 20 to 64 years","Percentage of total population","2010","Active population","76.8",""
"Total","Ireland","From 20 to 64 years","Percentage of total population","2010","Active population","74.8",""
"Males","Ireland","From 20 to 64 years","Percentage of total population","2010","Active population","83.2",""
"Females","Ireland","From 20 to 64 years","Percentage of total population","2010","Active population","66.4",""
"Total","Greece","From 20 to 64 years","Percentage of total population","2010","Active population","73.0",""
"Males","Greece","From 20 to 64 years","Percentage of total population","2010","Active population","84.4",""
"Females","Greece","From 20 to 64 years","Percentage of total population","2010","Active population","61.8",""
"Total","Spain","From 20 to 64 years","Percentage of total population","2010","Active population","77.8",""
"Males","Spain","From 20 to 64 years","Percentage of total population","2010","Active population","85.4",""
"Females","Spain","From 20 to 64 years","Percentage of total population","2010","Active population","70.1",""
"Total","France","From 20 to 64 years","Percentage of total population","2010","Active population",":",""
"Males","France","From 20 to 64 years","Percentage of total population","2010","Active population",":",""
"Females","France","From 20 to 64 years","Percentage of total population","2010","Active population",":",""
"Total","France (metropolitan)","From 20 to 64 years","Percentage of total population","2010","Active population","75.8",""
"Males","France (metropolitan)","From 20 to 64 years","Percentage of total population","2010","Active population","80.7",""
"Females","France (metropolitan)","From 20 to 64 years","Percentage of total population","2010","Active population","71.0",""
"Total","Croatia","From 20 to 64 years","Percentage of total population","2010","Active population","69.9",""
"Males","Croatia","From 20 to 64 years","Percentage of total population","2010","Active population","75.8",""
"Females","Croatia","From 20 to 64 years","Percentage of total population","2010","Active population","64.1",""
"Total","Italy","From 20 to 64 years","Percentage of total population","2010","Active population","66.3",""
"Males","Italy","From 20 to 64 years","Percentage of total population","2010","Active population","78.4",""
"Females","Italy","From 20 to 64 years","Percentage of total population","2010","Active population","54.6",""
"Total","Cyprus","From 20 to 64 years","Percentage of total population","2010","Active population","80.0",""
"Males","Cyprus","From 20 to 64 years","Percentage of total population","2010","Active population","87.2",""
"Females","Cyprus","From 20 to 64 years","Percentage of total population","2010","Active population","73.4",""
"Total","Latvia","From 20 to 64 years","Percentage of total population","2010","Active population","79.6",""
"Males","Latvia","From 20 to 64 years","Percentage of total population","2010","Active population","82.5",""
"Females","Latvia","From 20 to 64 years","Percentage of total population","2010","Active population","77.0",""
"Total","Lithuania","From 20 to 64 years","Percentage of total population","2010","Active population","78.2",""
"Males","Lithuania","From 20 to 64 years","Percentage of total population","2010","Active population","80.6",""
"Females","Lithuania","From 20 to 64 years","Percentage of total population","2010","Active population","76.0",""
"Total","Luxembourg","From 20 to 64 years","Percentage of total population","2010","Active population","73.8",""
"Males","Luxembourg","From 20 to 64 years","Percentage of total population","2010","Active population","82.1",""
"Females","Luxembourg","From 20 to 64 years","Percentage of total population","2010","Active population","65.3",""
"Total","Hungary","From 20 to 64 years","Percentage of total population","2010","Active population","67.4",""
"Males","Hungary","From 20 to 64 years","Percentage of total population","2010","Active population","74.0",""
"Females","Hungary","From 20 to 64 years","Percentage of total population","2010","Active population","61.0",""
"Total","Malta","From 20 to 64 years","Percentage of total population","2010","Active population","64.0",""
"Males","Malta","From 20 to 64 years","Percentage of total population","2010","Active population","83.2",""
"Females","Malta","From 20 to 64 years","Percentage of total population","2010","Active population","44.3",""
"Total","Netherlands","From 20 to 64 years","Percentage of total population","2010","Active population","80.0","b"
"Males","Netherlands","From 20 to 64 years","Percentage of total population","2010","Active population","86.2","b"
"Females","Netherlands","From 20 to 64 years","Percentage of total population","2010","Active population","73.8","b"
"Total","Austria","From 20 to 64 years","Percentage of total population","2010","Active population","77.5",""
"Males","Austria","From 20 to 64 years","Percentage of total population","2010","Active population","83.0",""
"Females","Austria","From 20 to 64 years","Percentage of total population","2010","Active population","71.9",""
"Total","Poland","From 20 to 64 years","Percentage of total population","2010","Active population","71.1","b"
"Males","Poland","From 20 to 64 years","Percentage of total population","2010","Active population","78.6","b"
"Females","Poland","From 20 to 64 years","Percentage of total population","2010","Active population","63.6","b"
"Total","Portugal","From 20 to 64 years","Percentage of total population","2010","Active population","79.1",""
"Males","Portugal","From 20 to 64 years","Percentage of total population","2010","Active population","83.8",""
"Females","Portugal","From 20 to 64 years","Percentage of total population","2010","Active population","74.7",""
"Total","Romania","From 20 to 64 years","Percentage of total population","2010","Active population","69.7","b"
"Males","Romania","From 20 to 64 years","Percentage of total population","2010","Active population","79.1","b"
"Females","Romania","From 20 to 64 years","Percentage of total population","2010","Active population","60.2","b"
"Total","Slovenia","From 20 to 64 years","Percentage of total population","2010","Active population","75.8",""
"Males","Slovenia","From 20 to 64 years","Percentage of total population","2010","Active population","79.9",""
"Females","Slovenia","From 20 to 64 years","Percentage of total population","2010","Active population","71.5",""
"Total","Slovakia","From 20 to 64 years","Percentage of total population","2010","Active population","75.2",""
"Males","Slovakia","From 20 to 64 years","Percentage of total population","2010","Active population","83.4",""
"Females","Slovakia","From 20 to 64 years","Percentage of total population","2010","Active population","67.0",""
"Total","Finland","From 20 to 64 years","Percentage of total population","2010","Active population","79.0",""
"Males","Finland","From 20 to 64 years","Percentage of total population","2010","Active population","81.4",""
"Females","Finland","From 20 to 64 years","Percentage of total population","2010","Active population","76.6",""
"Total","Sweden","From 20 to 64 years","Percentage of total population","2010","Active population","84.5",""
"Males","Sweden","From 20 to 64 years","Percentage of total population","2010","Active population","88.0",""
"Females","Sweden","From 20 to 64 years","Percentage of total population","2010","Active population","81.0",""
"Total","United Kingdom","From 20 to 64 years","Percentage of total population","2010","Active population","78.9",""
"Males","United Kingdom","From 20 to 64 years","Percentage of total population","2010","Active population","85.8",""
"Females","United Kingdom","From 20 to 64 years","Percentage of total population","2010","Active population","72.2",""
"Total","Iceland","From 20 to 64 years","Percentage of total population","2010","Active population","86.3",""
"Males","Iceland","From 20 to 64 years","Percentage of total population","2010","Active population","90.0",""
"Females","Iceland","From 20 to 64 years","Percentage of total population","2010","Active population","82.5",""
"Total","Norway","From 20 to 64 years","Percentage of total population","2010","Active population","82.1",""
"Males","Norway","From 20 to 64 years","Percentage of total population","2010","Active population","85.2",""
"Females","Norway","From 20 to 64 years","Percentage of total population","2010","Active population","79.0",""
"Total","Switzerland","From 20 to 64 years","Percentage of total population","2010","Active population","84.9",""
"Males","Switzerland","From 20 to 64 years","Percentage of total population","2010","Active population","91.3",""
"Females","Switzerland","From 20 to 64 years","Percentage of total population","2010","Active population","78.5",""
"Total","Former Yugoslav Republic of Macedonia, the","From 20 to 64 years","Percentage of total population","2010","Active population","70.3",""
"Males","Former Yugoslav Republic of Macedonia, the","From 20 to 64 years","Percentage of total population","2010","Active population","85.0",""
"Females","Former Yugoslav Republic of Macedonia, the","From 20 to 64 years","Percentage of total population","2010","Active population","55.4",""
"Total","Turkey","From 20 to 64 years","Percentage of total population","2010","Active population","55.9",""
"Males","Turkey","From 20 to 64 years","Percentage of total population","2010","Active population","80.9",""
"Females","Turkey","From 20 to 64 years","Percentage of total population","2010","Active population","31.5",""
"Total","United States","From 20 to 64 years","Percentage of total population","2010","Active population",":",""
"Males","United States","From 20 to 64 years","Percentage of total population","2010","Active population",":",""
"Females","United States","From 20 to 64 years","Percentage of total population","2010","Active population",":",""
"Total","Japan","From 20 to 64 years","Percentage of total population","2010","Active population",":",""
"Males","Japan","From 20 to 64 years","Percentage of total population","2010","Active population",":",""
"Females","Japan","From 20 to 64 years","Percentage of total population","2010","Active population",":",""
"Total","Euro area (13 countries)","From 20 to 64 years","Percentage of total population","2010","Active population",":",""
"Males","Euro area (13 countries)","From 20 to 64 years","Percentage of total population","2010","Active population",":",""
"Females","Euro area (13 countries)","From 20 to 64 years","Percentage of total population","2010","Active population",":",""
