"SEX","GEO","AGE","UNIT","TIME","INDIC_EM","Value","Flag and Footnotes"
"Total","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2012","Active population","76.2",""
"Males","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2012","Active population","82.9",""
"Females","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2012","Active population","69.5",""
"Total","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2012","Active population","76.2",""
"Males","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2012","Active population","83.0",""
"Females","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2012","Active population","69.5",""
"Total","European Union (15 countries)","From 20 to 64 years","Percentage of total population","2012","Active population","77.2",""
"Males","European Union (15 countries)","From 20 to 64 years","Percentage of total population","2012","Active population","83.9",""
"Females","European Union (15 countries)","From 20 to 64 years","Percentage of total population","2012","Active population","70.7",""
"Total","Euro area (19 countries)","From 20 to 64 years","Percentage of total population","2012","Active population","76.5",""
"Males","Euro area (19 countries)","From 20 to 64 years","Percentage of total population","2012","Active population","83.2",""
"Females","Euro area (19 countries)","From 20 to 64 years","Percentage of total population","2012","Active population","69.9",""
"Total","Euro area (18 countries)","From 20 to 64 years","Percentage of total population","2012","Active population","76.5",""
"Males","Euro area (18 countries)","From 20 to 64 years","Percentage of total population","2012","Active population","83.2",""
"Females","Euro area (18 countries)","From 20 to 64 years","Percentage of total population","2012","Active population","69.8",""
"Total","Euro area (17 countries)","From 20 to 64 years","Percentage of total population","2012","Active population","76.4",""
"Males","Euro area (17 countries)","From 20 to 64 years","Percentage of total population","2012","Active population","83.2",""
"Females","Euro area (17 countries)","From 20 to 64 years","Percentage of total population","2012","Active population","69.7",""
"Total","Belgium","From 20 to 64 years","Percentage of total population","2012","Active population","72.5",""
"Males","Belgium","From 20 to 64 years","Percentage of total population","2012","Active population","78.5",""
"Females","Belgium","From 20 to 64 years","Percentage of total population","2012","Active population","66.5",""
"Total","Bulgaria","From 20 to 64 years","Percentage of total population","2012","Active population","71.6",""
"Males","Bulgaria","From 20 to 64 years","Percentage of total population","2012","Active population","75.8",""
"Females","Bulgaria","From 20 to 64 years","Percentage of total population","2012","Active population","67.3",""
"Total","Czech Republic","From 20 to 64 years","Percentage of total population","2012","Active population","76.7",""
"Males","Czech Republic","From 20 to 64 years","Percentage of total population","2012","Active population","85.1",""
"Females","Czech Republic","From 20 to 64 years","Percentage of total population","2012","Active population","68.0",""
"Total","Denmark","From 20 to 64 years","Percentage of total population","2012","Active population","81.1",""
"Males","Denmark","From 20 to 64 years","Percentage of total population","2012","Active population","84.5",""
"Females","Denmark","From 20 to 64 years","Percentage of total population","2012","Active population","77.7",""
"Total","Germany (until 1990 former territory of the FRG)","From 20 to 64 years","Percentage of total population","2012","Active population","81.2",""
"Males","Germany (until 1990 former territory of the FRG)","From 20 to 64 years","Percentage of total population","2012","Active population","86.9",""
"Females","Germany (until 1990 former territory of the FRG)","From 20 to 64 years","Percentage of total population","2012","Active population","75.5",""
"Total","Estonia","From 20 to 64 years","Percentage of total population","2012","Active population","80.1",""
"Males","Estonia","From 20 to 64 years","Percentage of total population","2012","Active population","84.1",""
"Females","Estonia","From 20 to 64 years","Percentage of total population","2012","Active population","76.4",""
"Total","Ireland","From 20 to 64 years","Percentage of total population","2012","Active population","74.4",""
"Males","Ireland","From 20 to 64 years","Percentage of total population","2012","Active population","82.7",""
"Females","Ireland","From 20 to 64 years","Percentage of total population","2012","Active population","66.3",""
"Total","Greece","From 20 to 64 years","Percentage of total population","2012","Active population","72.6",""
"Males","Greece","From 20 to 64 years","Percentage of total population","2012","Active population","82.8",""
"Females","Greece","From 20 to 64 years","Percentage of total population","2012","Active population","62.7",""
"Total","Spain","From 20 to 64 years","Percentage of total population","2012","Active population","78.8",""
"Males","Spain","From 20 to 64 years","Percentage of total population","2012","Active population","85.0",""
"Females","Spain","From 20 to 64 years","Percentage of total population","2012","Active population","72.4",""
"Total","France","From 20 to 64 years","Percentage of total population","2012","Active population",":",""
"Males","France","From 20 to 64 years","Percentage of total population","2012","Active population",":",""
"Females","France","From 20 to 64 years","Percentage of total population","2012","Active population",":",""
"Total","France (metropolitan)","From 20 to 64 years","Percentage of total population","2012","Active population","76.3",""
"Males","France (metropolitan)","From 20 to 64 years","Percentage of total population","2012","Active population","81.3",""
"Females","France (metropolitan)","From 20 to 64 years","Percentage of total population","2012","Active population","71.6",""
"Total","Croatia","From 20 to 64 years","Percentage of total population","2012","Active population","68.7",""
"Males","Croatia","From 20 to 64 years","Percentage of total population","2012","Active population","75.3",""
"Females","Croatia","From 20 to 64 years","Percentage of total population","2012","Active population","62.2",""
"Total","Italy","From 20 to 64 years","Percentage of total population","2012","Active population","67.9",""
"Males","Italy","From 20 to 64 years","Percentage of total population","2012","Active population","79.0",""
"Females","Italy","From 20 to 64 years","Percentage of total population","2012","Active population","57.0",""
"Total","Cyprus","From 20 to 64 years","Percentage of total population","2012","Active population","79.6",""
"Males","Cyprus","From 20 to 64 years","Percentage of total population","2012","Active population","86.9",""
"Females","Cyprus","From 20 to 64 years","Percentage of total population","2012","Active population","72.8",""
"Total","Latvia","From 20 to 64 years","Percentage of total population","2012","Active population","80.0",""
"Males","Latvia","From 20 to 64 years","Percentage of total population","2012","Active population","83.3",""
"Females","Latvia","From 20 to 64 years","Percentage of total population","2012","Active population","77.0",""
"Total","Lithuania","From 20 to 64 years","Percentage of total population","2012","Active population","79.1",""
"Males","Lithuania","From 20 to 64 years","Percentage of total population","2012","Active population","81.6",""
"Females","Lithuania","From 20 to 64 years","Percentage of total population","2012","Active population","76.9",""
"Total","Luxembourg","From 20 to 64 years","Percentage of total population","2012","Active population","75.2",""
"Males","Luxembourg","From 20 to 64 years","Percentage of total population","2012","Active population","82.0",""
"Females","Luxembourg","From 20 to 64 years","Percentage of total population","2012","Active population","68.1",""
"Total","Hungary","From 20 to 64 years","Percentage of total population","2012","Active population","69.2",""
"Males","Hungary","From 20 to 64 years","Percentage of total population","2012","Active population","75.7",""
"Females","Hungary","From 20 to 64 years","Percentage of total population","2012","Active population","62.8",""
"Total","Malta","From 20 to 64 years","Percentage of total population","2012","Active population","66.7",""
"Males","Malta","From 20 to 64 years","Percentage of total population","2012","Active population","83.4",""
"Females","Malta","From 20 to 64 years","Percentage of total population","2012","Active population","49.7",""
"Total","Netherlands","From 20 to 64 years","Percentage of total population","2012","Active population","80.8",""
"Males","Netherlands","From 20 to 64 years","Percentage of total population","2012","Active population","86.5",""
"Females","Netherlands","From 20 to 64 years","Percentage of total population","2012","Active population","75.1",""
"Total","Austria","From 20 to 64 years","Percentage of total population","2012","Active population","78.1",""
"Males","Austria","From 20 to 64 years","Percentage of total population","2012","Active population","83.3",""
"Females","Austria","From 20 to 64 years","Percentage of total population","2012","Active population","72.9",""
"Total","Poland","From 20 to 64 years","Percentage of total population","2012","Active population","71.9",""
"Males","Poland","From 20 to 64 years","Percentage of total population","2012","Active population","79.4",""
"Females","Poland","From 20 to 64 years","Percentage of total population","2012","Active population","64.5",""
"Total","Portugal","From 20 to 64 years","Percentage of total population","2012","Active population","78.7",""
"Males","Portugal","From 20 to 64 years","Percentage of total population","2012","Active population","83.1",""
"Females","Portugal","From 20 to 64 years","Percentage of total population","2012","Active population","74.6",""
"Total","Romania","From 20 to 64 years","Percentage of total population","2012","Active population","69.5",""
"Males","Romania","From 20 to 64 years","Percentage of total population","2012","Active population","78.5",""
"Females","Romania","From 20 to 64 years","Percentage of total population","2012","Active population","60.4",""
"Total","Slovenia","From 20 to 64 years","Percentage of total population","2012","Active population","74.9",""
"Males","Slovenia","From 20 to 64 years","Percentage of total population","2012","Active population","78.4",""
"Females","Slovenia","From 20 to 64 years","Percentage of total population","2012","Active population","71.3",""
"Total","Slovakia","From 20 to 64 years","Percentage of total population","2012","Active population","75.3",""
"Males","Slovakia","From 20 to 64 years","Percentage of total population","2012","Active population","83.8",""
"Females","Slovakia","From 20 to 64 years","Percentage of total population","2012","Active population","66.8",""
"Total","Finland","From 20 to 64 years","Percentage of total population","2012","Active population","79.5",""
"Males","Finland","From 20 to 64 years","Percentage of total population","2012","Active population","81.8",""
