"SEX","GEO","AGE","UNIT","TIME","INDIC_EM","Value","Flag and Footnotes"
"Total","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","69.0",""
"Males","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","75.7",""
"Females","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","62.3",""
"Total","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","69.0",""
"Males","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","75.8",""
"Females","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","62.3",""
"Total","European Union (15 countries)","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","69.9",""
"Males","European Union (15 countries)","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","76.6",""
"Females","European Union (15 countries)","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","63.3",""
"Total","Euro area (19 countries)","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","68.8",""
"Males","Euro area (19 countries)","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","75.7",""
"Females","Euro area (19 countries)","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","61.9",""
"Total","Euro area (18 countries)","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","68.8",""
"Males","Euro area (18 countries)","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","75.8",""
"Females","Euro area (18 countries)","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","61.9",""
"Total","Euro area (17 countries)","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","68.8",""
"Males","Euro area (17 countries)","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","75.8",""
"Females","Euro area (17 countries)","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","61.8",""
"Total","Belgium","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","67.1",""
"Males","Belgium","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","73.2",""
"Females","Belgium","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","61.0",""
"Total","Bulgaria","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","68.8",""
"Males","Bulgaria","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","73.8",""
"Females","Bulgaria","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","64.0",""
"Total","Czech Republic","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","70.9",""
"Males","Czech Republic","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","80.2",""
"Females","Czech Republic","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","61.4",""
"Total","Denmark","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","77.5",""
"Males","Denmark","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","80.5",""
"Females","Denmark","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","74.5",""
"Total","Germany (until 1990 former territory of the FRG)","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","74.2",""
"Males","Germany (until 1990 former territory of the FRG)","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","79.6",""
"Females","Germany (until 1990 former territory of the FRG)","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","68.7",""
"Total","Estonia","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","70.0",""
"Males","Estonia","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","71.0",""
"Females","Estonia","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","69.0",""
"Total","Ireland","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","66.9","b"
"Males","Ireland","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","72.1","b"
"Females","Ireland","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","61.8","b"
"Total","Greece","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","65.6","b"
"Males","Greece","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","78.5","b"
"Females","Greece","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","52.9","b"
"Total","Spain","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","64.0",""
"Males","Spain","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","71.0",""
"Females","Spain","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","56.8",""
"Total","France","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)",":",""
"Males","France","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)",":",""
"Females","France","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)",":",""
"Total","France (metropolitan)","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","69.5",""
"Males","France (metropolitan)","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","74.3",""
"Females","France (metropolitan)","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","65.0",""
"Total","Croatia","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","64.2",""
"Males","Croatia","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","70.5",""
"Females","Croatia","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","58.0",""
"Total","Italy","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","61.6",""
"Males","Italy","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","73.7",""
"Females","Italy","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","49.7",""
"Total","Cyprus","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","75.3","b"
"Males","Cyprus","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","82.8","b"
"Females","Cyprus","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","68.3","b"
"Total","Latvia","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","66.6",""
"Males","Latvia","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","66.8",""
"Females","Latvia","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","66.5",""
"Total","Lithuania","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","67.0",""
"Males","Lithuania","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","66.8",""
"Females","Lithuania","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","67.2",""
"Total","Luxembourg","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","70.4","b"
"Males","Luxembourg","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","79.0","b"
"Females","Luxembourg","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","61.5","b"
"Total","Hungary","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","60.1",""
"Males","Hungary","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","66.5",""
"Females","Hungary","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","54.0",""
"Total","Malta","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","59.0",""
"Males","Malta","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","77.5",""
"Females","Malta","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","40.0",""
"Total","Netherlands","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","78.8",""
"Males","Netherlands","From 20 to 64 years","Percentage of total population","2009","Total employment (resident population concept - LFS)","84.9",""
