"SEX","GEO","AGE","UNIT","TIME","INDIC_EM","Value","Flag and Footnotes"
"Total","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","68.6",""
"Males","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","75.1",""
"Females","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","62.1",""
"Total","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","68.6",""
"Males","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","75.1",""
"Females","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","62.1",""
"Total","European Union (15 countries)","From 20 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","69.6",""
"Males","European Union (15 countries)","From 20 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","76.1",""
"Females","European Union (15 countries)","From 20 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","63.2",""
"Total","Euro area (19 countries)","From 20 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","68.4",""
"Males","Euro area (19 countries)","From 20 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","75.0",""
"Females","Euro area (19 countries)","From 20 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","61.8",""
"Total","Euro area (18 countries)","From 20 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","68.4",""
"Males","Euro area (18 countries)","From 20 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","75.1",""
"Females","Euro area (18 countries)","From 20 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","61.8",""
"Total","Euro area (17 countries)","From 20 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","68.4",""
"Males","Euro area (17 countries)","From 20 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","75.2",""
"Females","Euro area (17 countries)","From 20 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","61.7",""
"Total","Belgium","From 20 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","67.6",""
"Males","Belgium","From 20 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","73.5",""
"Females","Belgium","From 20 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","61.6",""
