"SEX","GEO","AGE","UNIT","TIME","INDIC_EM","Value","Flag and Footnotes"
"Total","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","64.1",""
"Males","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","70.1",""
"Females","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","58.2",""
"Total","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","64.2",""
"Males","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","70.1",""
"Females","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","58.3",""
"Total","European Union (15 countries)","From 15 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","65.4",""
"Males","European Union (15 countries)","From 15 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","71.3",""
"Females","European Union (15 countries)","From 15 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","59.5",""
"Total","Euro area (19 countries)","From 15 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","64.0",""
"Males","Euro area (19 countries)","From 15 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","70.2",""
"Females","Euro area (19 countries)","From 15 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","58.0",""
"Total","Euro area (18 countries)","From 15 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","64.1",""
"Males","Euro area (18 countries)","From 15 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","70.3",""
"Females","Euro area (18 countries)","From 15 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","57.9",""
"Total","Euro area (17 countries)","From 15 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","64.1",""
"Males","Euro area (17 countries)","From 15 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","70.4",""
"Females","Euro area (17 countries)","From 15 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","57.9",""
"Total","Belgium","From 15 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","62.0",""
"Males","Belgium","From 15 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","67.4",""
"Females","Belgium","From 15 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","56.5",""
"Total","Bulgaria","From 15 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","59.8","b"
"Males","Bulgaria","From 15 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","63.3","b"
"Females","Bulgaria","From 15 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","56.2","b"
"Total","Czech Republic","From 15 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","65.0",""
"Males","Czech Republic","From 15 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","73.5",""
"Females","Czech Republic","From 15 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","56.3",""
"Total","Denmark","From 15 to 64 years","Percentage of total population","2010","Total employment (resident population concept - LFS)","73.3",""
