"SEX","GEO","AGE","UNIT","TIME","INDIC_EM","Value","Flag and Footnotes"
"Total","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2011","Total employment (resident population concept - LFS)","68.6",""
"Males","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2011","Total employment (resident population concept - LFS)","75.0",""
"Females","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2011","Total employment (resident population concept - LFS)","62.2",""
"Total","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2011","Total employment (resident population concept - LFS)","68.6",""
"Males","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2011","Total employment (resident population concept - LFS)","75.0",""
"Females","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2011","Total employment (resident population concept - LFS)","62.3",""
"Total","European Union (15 countries)","From 20 to 64 years","Percentage of total population","2011","Total employment (resident population concept - LFS)","69.6",""
"Males","European Union (15 countries)","From 20 to 64 years","Percentage of total population","2011","Total employment (resident population concept - LFS)","75.9",""
"Females","European Union (15 countries)","From 20 to 64 years","Percentage of total population","2011","Total employment (resident population concept - LFS)","63.4",""
"Total","Euro area (19 countries)","From 20 to 64 years","Percentage of total population","2011","Total employment (resident population concept - LFS)","68.4",""
"Males","Euro area (19 countries)","From 20 to 64 years","Percentage of total population","2011","Total employment (resident population concept - LFS)","74.9",""
"Females","Euro area (19 countries)","From 20 to 64 years","Percentage of total population","2011","Total employment (resident population concept - LFS)","62.0",""
"Total","Euro area (18 countries)","From 20 to 64 years","Percentage of total population","2011","Total employment (resident population concept - LFS)","68.4",""
"Males","Euro area (18 countries)","From 20 to 64 years","Percentage of total population","2011","Total employment (resident population concept - LFS)","74.9",""
"Females","Euro area (18 countries)","From 20 to 64 years","Percentage of total population","2011","Total employment (resident population concept - LFS)","62.0",""
"Total","Euro area (17 countries)","From 20 to 64 years","Percentage of total population","2011","Total employment (resident population concept - LFS)","68.4",""
"Males","Euro area (17 countries)","From 20 to 64 years","Percentage of total population","2011","Total employment (resident population concept - LFS)","75.0",""
"Females","Euro area (17 countries)","From 20 to 64 years","Percentage of total population","2011","Total employment (resident population concept - LFS)","62.0",""
"Total","Belgium","From 20 to 64 years","Percentage of total population","2011","Total employment (resident population concept - LFS)","67.3",""
"Males","Belgium","From 20 to 64 years","Percentage of total population","2011","Total employment (resident population concept - LFS)","73.0",""
"Females","Belgium","From 20 to 64 years","Percentage of total population","2011","Total employment (resident population concept - LFS)","61.5",""
"Total","Bulgaria","From 20 to 64 years","Percentage of total population","2011","Total employment (resident population concept - LFS)","62.9","b"
"Males","Bulgaria","From 20 to 64 years","Percentage of total population","2011","Total employment (resident population concept - LFS)","66.0","b"
"Females","Bulgaria","From 20 to 64 years","Percentage of total population","2011","Total employment (resident population concept - LFS)","59.8","b"
