"SEX","GEO","AGE","UNIT","TIME","INDIC_EM","Value","Flag and Footnotes"
"Total","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","64.8",""
"Males","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","70.1",""
"Females","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","59.6",""
"Total","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","64.9",""
"Males","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","70.2",""
"Females","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","59.7",""
"Total","European Union (15 countries)","From 15 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","65.6",""
"Males","European Union (15 countries)","From 15 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","70.6",""
"Females","European Union (15 countries)","From 15 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","60.6",""
"Total","Euro area (19 countries)","From 15 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","63.9",""
"Males","Euro area (19 countries)","From 15 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","69.0",""
"Females","Euro area (19 countries)","From 15 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","58.8",""
"Total","Euro area (18 countries)","From 15 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","63.9",""
"Males","Euro area (18 countries)","From 15 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","69.0",""
"Females","Euro area (18 countries)","From 15 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","58.7",""
"Total","Euro area (17 countries)","From 15 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","63.9",""
"Males","Euro area (17 countries)","From 15 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","69.0",""
"Females","Euro area (17 countries)","From 15 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","58.7",""
"Total","Belgium","From 15 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","61.9",""
"Males","Belgium","From 15 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","65.8",""
"Females","Belgium","From 15 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","57.9",""
"Total","Bulgaria","From 15 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","61.0",""
"Males","Bulgaria","From 15 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","63.9",""
"Females","Bulgaria","From 15 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","58.2",""
"Total","Czech Republic","From 15 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","69.0",""
"Males","Czech Republic","From 15 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","77.0",""
"Females","Czech Republic","From 15 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","60.7",""
"Total","Denmark","From 15 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","72.8",""
"Males","Denmark","From 15 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","75.8",""
"Females","Denmark","From 15 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","69.8",""
"Total","Germany (until 1990 former territory of the FRG)","From 15 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","73.8",""
"Males","Germany (until 1990 former territory of the FRG)","From 15 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","78.1",""
"Females","Germany (until 1990 former territory of the FRG)","From 15 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","69.5",""
"Total","Estonia","From 15 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","69.6",""
"Males","Estonia","From 15 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","73.0",""
"Females","Estonia","From 15 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","66.3",""
"Total","Ireland","From 15 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","61.7",""
"Males","Ireland","From 15 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","66.9",""
"Females","Ireland","From 15 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","56.7",""
"Total","Greece","From 15 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","49.4",""
"Males","Greece","From 15 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","58.0",""
"Females","Greece","From 15 to 64 years","Percentage of total population","2014","Total employment (resident population concept - LFS)","41.1",""
