"SEX","GEO","AGE","UNIT","TIME","INDIC_EM","Value","Flag and Footnotes"
"Total","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2015","Total employment (resident population concept - LFS)","70.1",""
"Males","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2015","Total employment (resident population concept - LFS)","75.9",""
"Females","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2015","Total employment (resident population concept - LFS)","64.3",""
"Total","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2015","Total employment (resident population concept - LFS)","70.1",""
"Males","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2015","Total employment (resident population concept - LFS)","75.9",""
"Females","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2015","Total employment (resident population concept - LFS)","64.4",""
"Total","European Union (15 countries)","From 20 to 64 years","Percentage of total population","2015","Total employment (resident population concept - LFS)","70.5",""
"Males","European Union (15 countries)","From 20 to 64 years","Percentage of total population","2015","Total employment (resident population concept - LFS)","76.1",""
"Females","European Union (15 countries)","From 20 to 64 years","Percentage of total population","2015","Total employment (resident population concept - LFS)","65.0",""
"Total","Euro area (19 countries)","From 20 to 64 years","Percentage of total population","2015","Total employment (resident population concept - LFS)","69.0",""
"Males","Euro area (19 countries)","From 20 to 64 years","Percentage of total population","2015","Total employment (resident population concept - LFS)","74.6",""
"Females","Euro area (19 countries)","From 20 to 64 years","Percentage of total population","2015","Total employment (resident population concept - LFS)","63.4",""
"Total","Euro area (18 countries)","From 20 to 64 years","Percentage of total population","2015","Total employment (resident population concept - LFS)","68.9",""
"Males","Euro area (18 countries)","From 20 to 64 years","Percentage of total population","2015","Total employment (resident population concept - LFS)","74.6",""
"Females","Euro area (18 countries)","From 20 to 64 years","Percentage of total population","2015","Total employment (resident population concept - LFS)","63.3",""
"Total","Euro area (17 countries)","From 20 to 64 years","Percentage of total population","2015","Total employment (resident population concept - LFS)","68.9",""
"Males","Euro area (17 countries)","From 20 to 64 years","Percentage of total population","2015","Total employment (resident population concept - LFS)","74.6",""
"Females","Euro area (17 countries)","From 20 to 64 years","Percentage of total population","2015","Total employment (resident population concept - LFS)","63.3",""
"Total","Belgium","From 20 to 64 years","Percentage of total population","2015","Total employment (resident population concept - LFS)","67.2",""
"Males","Belgium","From 20 to 64 years","Percentage of total population","2015","Total employment (resident population concept - LFS)","71.3",""
